INFO  - 2018-03-26 17:40:33.530; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2018-03-26 17:40:33.531; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2018-03-26 17:40:33.531; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.532; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.532; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.533; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2018-03-26 17:40:33.533; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2018-03-26 17:40:33.534; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.534; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2018-03-26 17:40:33.538; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2018-03-26 17:40:33.538; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2018-03-26 17:40:33.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2018-03-26 17:40:33.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.541; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.541; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2018-03-26 17:40:33.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.543; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2018-03-26 17:40:33.544; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2018-03-26 17:40:33.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2018-03-26 17:40:33.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2018-03-26 17:40:33.549; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/Louis/AppData/Local/Programs/Python/Python36-32/Scripts/myblog/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
